Date Time,Water Level,Sigma,O,F,R,L,Quality
4/23/16 15:00,0.83,4.00E-03,0,0,0,0,v
4/23/16 15:06,0.8,3.00E-03,0,0,0,0,v
4/23/16 15:12,0.78,3.00E-03,0,0,0,0,v
4/23/16 15:18,0.75,4.00E-03,0,0,0,0,v
4/23/16 15:24,0.72,5.00E-03,0,0,0,0,v
4/23/16 15:30,0.68,5.00E-03,0,0,0,0,v
4/23/16 15:36,0.65,5.00E-03,0,0,0,0,v
4/23/16 15:42,0.61,5.00E-03,0,0,0,0,v
4/23/16 15:48,0.58,5.00E-03,0,0,0,0,v
4/23/16 15:54,0.54,5.00E-03,0,0,0,0,v
4/23/16 16:00,0.51,5.00E-03,0,0,0,0,v
4/23/16 16:06,0.47,5.00E-03,0,0,0,0,v
4/23/16 16:12,0.44,5.00E-03,0,0,0,0,v
4/23/16 16:18,0.4,5.00E-03,0,0,0,0,v
4/23/16 16:24,0.37,6.00E-03,0,0,0,0,v
4/23/16 16:30,0.33,4.00E-03,0,0,0,0,v
4/23/16 16:36,0.3,5.00E-03,0,0,0,0,v
4/23/16 16:42,0.27,5.00E-03,0,0,0,0,v
4/23/16 16:48,0.23,5.00E-03,0,0,0,0,v
4/23/16 16:54,0.2,5.00E-03,0,0,0,0,v
4/23/16 17:00,0.17,4.00E-03,0,0,0,0,v
4/23/16 17:06,0.13,5.00E-03,0,0,0,0,v
4/23/16 17:12,0.1,4.00E-03,0,0,0,0,v
4/23/16 17:18,0.07,4.00E-03,0,0,0,0,v
4/23/16 17:24,0.04,4.00E-03,0,0,0,0,v
4/23/16 17:30,0.01,5.00E-03,0,0,0,0,v
4/23/16 17:36,-0.02,4.00E-03,0,0,0,0,v
4/23/16 17:42,-0.05,4.00E-03,0,0,0,0,v
4/23/16 17:48,-0.08,5.00E-03,0,0,0,0,v
4/23/16 17:54,-0.11,5.00E-03,0,0,0,0,v
4/23/16 18:00,-0.14,4.00E-03,0,0,0,0,v
4/23/16 18:06,-0.17,5.00E-03,0,0,0,0,v
4/23/16 18:12,-0.2,5.00E-03,0,0,0,0,v
4/23/16 18:18,-0.23,4.00E-03,0,0,0,0,v
4/23/16 18:24,-0.27,5.00E-03,0,0,0,0,v
4/23/16 18:30,-0.3,3.00E-03,0,0,0,0,v
4/23/16 18:36,-0.33,4.00E-03,0,0,0,0,v
4/23/16 18:42,-0.36,5.00E-03,0,0,0,0,v
4/23/16 18:48,-0.39,5.00E-03,0,0,0,0,v
4/23/16 18:54,-0.42,6.00E-03,0,0,0,0,v
4/23/16 19:00,-0.46,5.00E-03,0,0,0,0,v
4/23/16 19:06,-0.49,4.00E-03,0,0,0,0,v
4/23/16 19:12,-0.52,4.00E-03,0,0,0,0,v
4/23/16 19:18,-0.55,5.00E-03,0,0,0,0,v
4/23/16 19:24,-0.58,4.00E-03,0,0,0,0,v
4/23/16 19:30,-0.61,4.00E-03,0,0,0,0,v
4/23/16 19:36,-0.64,4.00E-03,0,0,0,0,v
4/23/16 19:42,-0.67,3.00E-03,0,0,0,0,v
4/23/16 19:48,-0.7,4.00E-03,0,0,0,0,v
4/23/16 19:54,-0.72,4.00E-03,0,0,0,0,v
